t_source [s],X [m],Y [m],Z [m],V [m/s],M_0 [-],F_n [N],TS [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],alpha [deg],gamma [deg],Airframe LG [-],Airframe delta_f [deg],Airframe delta_s [deg]
11.0,-4835.887929791341,0.0,253.43814726202763,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
11.5,-4791.342435690947,0.0,251.1036168391602,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
12.0,-4746.796941590554,0.0,248.76908641629277,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
12.5,-4702.25144749016,0.0,246.4345559934253,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
13.0,-4657.705953389766,0.0,244.10002557055788,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
13.5,-4613.160459289373,0.0,241.76549514769044,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
14.0,-4568.614965188979,0.0,239.43096472482299,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
14.5,-4524.0694710885855,0.0,237.09643430195553,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
15.0,-4479.523976988192,0.0,234.7619038790881,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
15.5,-4434.978482887798,0.0,232.42737345622066,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
16.0,-4390.432988787405,0.0,230.09284303335323,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
16.5,-4345.887494687011,0.0,227.75831261048577,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
17.0,-4301.342000586617,0.0,225.42378218761834,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
17.5,-4256.796506486224,0.0,223.08925176475088,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
18.0,-4212.25101238583,0.0,220.75472134188345,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
18.5,-4167.7055182854365,0.0,218.42019091901602,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
19.0,-4123.160024185043,0.0,216.0856604961486,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
19.5,-4078.6145300846492,0.0,213.75113007328113,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
20.0,-4034.0690359842556,0.0,211.41659965041367,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
